video_id,title,channel_name,tanggal,author,komentar,label,komentar_clean,predicted_label,cleaned,stemmed,tokens,token_count,char_count
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.264.319.160,cokjaran5744,​ @AnggoroDps_9 ayo jelaskan dong ...blok !,0,​ ayo jelaskan dong ... blok !,0,aanggorodps 9 ayo jelaskan dong blok,aanggorodps 9 ayo jelas dong blok,"['aanggorodps', '9', 'ayo', 'jelaskan', 'dong', 'blok']",6,43
rrUoGtfU9kw,PAMERAN EV TERKEREN INI BISA BIKIN ANDA KAYA RAYA,Fitra Eri,2025-05-01 09:01:12+00:00,BudiPuspita-j9b,pengen main nih . gara-gara alexis17 nih !,1,pengen main nih . gara-gara alexis17 nih !,1,pengen main nih gara gara alexisit nih,ken main nih gara gara alexisit nih,"['pengen', 'main', 'nih', 'gara', 'gara', 'alexisit', 'nih']",7,42
ufS5vDKnIhM,MITSUBISHI TRITON ULTIMATE AT | Definisi Pria Jago Di Kantor dan Di Lapangan,Motomobi,2025-05-01 02:30:42+00:00,LentzGeer-w8w,auto jepey ! 𝗪𝗘𝗧𝗢𝗡𝟴𝟴,1,auto jepey ! 𝗪𝗘𝗧𝗢𝗡𝟴𝟴,1,auto jepey weton88,auto jepey weton88,"['auto', 'jepey', 'weton88']",3,20
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.401.443.925.070,ssnoww,hidup macan sirkus,0,hidup macan sirkus,0,hidup macan sirkus,hidup macan sirkus,"['hidup', 'macan', 'sirkus']",3,18
BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.739.946.164.453.690,andhikamaheswara7180,GD coba buat body kit ala GD,0,gd coba body kit ala gd,0,gd coba buat body kit ala gd,gd coba buat body kit ala gd,"['gd', 'coba', 'buat', 'body', 'kit', 'ala', 'gd']",7,28
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.336.743.737.720,indra_wtb,ga akan lupa cara nya anda bisa menjadi calon wapres !!! 💥,0,ga akan lupa cara nya anda bisa menjadi calon wapres ! ! !,0,ga akan lupa cara nya anda bisa menjadi calon wapres,ga akan lupa cara nya anda bisa jadi calon wapres,"['ga', 'akan', 'lupa', 'cara', 'nya', 'anda', 'bisa', 'menjadi', 'calon', 'wapres']",10,58
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.287.871.560,addiscus,Makin lama didengerin makin ngeselin.,0,makin lama didengerin makin ngeselin .,0,makin lama didengerin makin ngeselin,makin lama didengerin makin ngeselin,"['makin', 'lama', 'didengerin', 'makin', 'ngeselin']",5,37
aA9G2sW212g,PEVS 2025 banyak kejutan,Om Mobi,2025-04-30 11:15:00+00:00,herlambangbagiya,gue sih udah ga heran kalo alexis17 ! trending sosmed,1,gue sih udah ga heran kalo alexis17 ! trending sosmed,1,gue sih udah ga heran kalo alexisit trending sosmed,gue sih udah ga heran kalo alexisit trending sosmed,"['gue', 'sih', 'udah', 'ga', 'heran', 'kalo', 'alexisit', 'trending', 'sosmed']",9,53
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.825.550.943.790,Galangptrra,manis banget,0,manis banget,0,manis banget,manis banget,"['manis', 'banget']",2,12
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.390.646.032.610,marifsgp9300,HIDUP JOKOWI,0,hidup jokowi,0,hidup jokowi,hidup jokowi,"['hidup', 'jokowi']",2,12
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.279.696.430,gretamarielle,tidak punya pemahaman n penalaran pribadi yg kuat,0,tidak punya pemahaman n penalaran pribadi yg kuat,0,tidak punya pemahaman n penalaran pribadi yg kuat,tidak punya paham n nalar pribadi yg kuat,"['tidak', 'punya', 'pemahaman', 'n', 'penalaran', 'pribadi', 'yg', 'kuat']",8,49
IlkUUwDFCiI,YAMAHA CRYPTON | Begini Rasanya Bila Yamaha Buat Motor Bebek 4 Tak | Motomobi Used Bike,Motomobi,2025-03-21 13:00:27+00:00,geishazaskia,semangat menang 𝐆𝑨𝑪𝑯𝑨𝟏𝟔𝟖 ku,1,semangat menang 𝐆𝑨𝑪𝑯𝑨𝟏𝟔𝟖 ku,1,semangat menang gachai68 ku,semangat menang gachai68 ku,"['semangat', 'menang', 'gachai68', 'ku']",4,27
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.825.548.563.190,kingboyeridn,Bau bau brziko bakalan upgrade,0,bau bau brziko upgrade,0,bau bau brziko bakalan upgrade,bau bau brziko bakal upgrade,"['bau', 'bau', 'brziko', 'bakalan', 'upgrade']",5,30
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.261.577.180,trisuryo1367,​@DouZheng_bintangTodjoe terus bernegara yg baik harus ikuti katamu ? 😂,0,​ terus bernegara yg baik harus ikuti katamu ?,0,adouzheng bintangtodjoe terus bernegara yg baik harus ikuti katamu,adouzheng bintangtodjoe terus negara yg baik harus ikut kata,"['adouzheng', 'bintangtodjoe', 'terus', 'bernegara', 'yg', 'baik', 'harus', 'ikuti', 'katamu']",9,71
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.825.552.765.340,louisslim8249,Papi Inside,0,papi inside,0,papi inside,papi inside,"['papi', 'inside']",2,11
J2_Egvu2QII,"GAK SAMPAI 600JT, DAPET MOBIL PHEV: JAECOO J7",Ridwan Hanif,1.740.049.918.711.760,mamikmamik5519,Sukses terus ya mas.,0,sukses ya mas .,0,sukses terus ya mas,sukses terus ya mas,"['sukses', 'terus', 'ya', 'mas']",4,20
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.369.146.716.940,onet5248,cuihhh....gitu katanya fufufafa...hehehe,0,cuihhh .... gitu katanya fufufafa ... hehehe,0,cuihhh gitu katanya fufufafa hehehe,cuihhh gitu kata fufufafa hehehe,"['cuihhh', 'gitu', 'katanya', 'fufufafa', 'hehehe']",5,40
XI8K0-_kbHc,GAK NYANGKA BISA BEGINI! PENGENDARA DIJALAN SAMPAI BINGUNG LIHAT HUMMER EV | GLAMOUR AUTO BOUTIQUE,Jejelogy,1.739.601.499.045.330,fahmi9115,Bikin token listrik abis😅,0,bikin token listrik abis,0,bikin token listrik abis,bikin token listrik abis,"['bikin', 'token', 'listrik', 'abis']",4,25
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,173.994.632.737.506,Flyingbread203,Towel gaj di ajak 😂,0,towel gaj ajak,0,towel gaj di ajak,towel gaj di ajak,"['towel', 'gaj', 'di', 'ajak']",4,19
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.412.250.012.770,lagupendekenak,Partai apa yang bagus menurut lu?,0,partai apa yang bagus menurut lu ?,0,partai apa yang bagus menurut lu,partai apa yang bagus turut lu,"['partai', 'apa', 'yang', 'bagus', 'menurut', 'lu']",6,33
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.960.729.817.280,MusyahrialBulian,"Kapan ready yg player issue nih,,masak kemarin cuma 1000 doang",0,"ready yg player issue nih , ,masak kemarin 1000 doang",0,kapan ready yg player issue nih masak kemarin cuma iooo doang,kapan ready yg player issue nih masak kemarin cuma iooo doang,"['kapan', 'ready', 'yg', 'player', 'issue', 'nih', 'masak', 'kemarin', 'cuma', 'iooo', 'doang']",11,62
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,2025-04-22 03:10:19+00:00,NailTurgay,kayak aja keseruan 𝙋𝙐𝙇𝘼𝙐𝙒𝙄𝙉 .,1,kayak aja keseruan 𝙋𝙐𝙇𝘼𝙐𝙒𝙄𝙉 .,1,kayak aja keseruan pulauwin,kayak aja seru pulauwin,"['kayak', 'aja', 'keseruan', 'pulauwin']",4,29
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.337.021.737.430,hambaaaaa_allah,0:01 ngidam ngidam ngidam 😊😊,0,0:01 ngidam ngidam ngidam,0,o oi ngidam ngidam ngidam,o oi ngidam ngidam ngidam,"['o', 'oi', 'ngidam', 'ngidam', 'ngidam']",5,28
8AzDe6gMOck,BRZ Farrel Siap untuk Indonesian Drift Series‼️,Garasi Drift,2025-05-02 09:00:09+00:00,menardmoises-q9i,epic moment 𝗦𝗚𝗜𝟴𝟴,1,epic moment 𝗦𝗚𝗜𝟴𝟴,1,epic moment sgi88,epic moment sgi88,"['epic', 'moment', 'sgi88']",3,17
nZoNbiwP2ZE,Akhirnya Selesai Subaru Crosstrek Family Driftster‼️,Garasi Drift,1.739.599.679.818.560,MahmudLins-n3b,"А𝐗𝐿𝟳7𝟽 aku coba bentar, lngsg WD gede",1,"а𝐗𝐿𝟳7𝟽 coba bentar , lngsg wd gede",1,axlttt aku coba bentar lngsg wd gede,axlttt aku coba bentar lngsg wd gede,"['axlttt', 'aku', 'coba', 'bentar', 'lngsg', 'wd', 'gede']",7,37
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.387.184.973.200,6872-w5d,Kelihatan pintar tapi baca teks 😅😅😅😅😅😅😅😅,0,kelihatan pintar tapi baca teks,0,kelihatan pintar tapi baca teks,lihat pintar tapi baca teks,"['kelihatan', 'pintar', 'tapi', 'baca', 'teks']",5,40
IlkUUwDFCiI,YAMAHA CRYPTON | Begini Rasanya Bila Yamaha Buat Motor Bebek 4 Tak | Motomobi Used Bike,Motomobi,2025-03-21 13:00:27+00:00,NadhiftamaDharma-q6z,"modal maxwin , gila sih gacor abis",1,"modal maxwin , gila sih gacor abis",1,modal maxwin gila sih gacor abis,modal maxwin gila sih gacor abis,"['modal', 'maxwin', 'gila', 'sih', 'gacor', 'abis']",6,34
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.739.084.752.309.840,zhainhammed5301,Anak nya syahroni nih????????????? 🗿🗿,0,anak nya syahroni nih ? ? ? ? ? ? ? ? ? ? ? ? ?,0,anak nya syahroni nih,anak nya syahroni nih,"['anak', 'nya', 'syahroni', 'nih']",4,37
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.337.014.575.440,indarkapp,09:00 epic moment sih 😂 gokliisss,0,09:00 epic moment sih gokliisss,0,o9 oo epic moment sih gokliisss,o9 oo epic moment sih gokliisss,"['o9', 'oo', 'epic', 'moment', 'sih', 'gokliisss']",6,33
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,2025-04-22 03:10:19+00:00,NovitaPutri-k7e,udh top main alexis17 gak pelit cok,1,udh top main alexis17 gak pelit cok,1,udh top main alexisit gak pelit cok,udh top main alexisit gak pelit cok,"['udh', 'top', 'main', 'alexisit', 'gak', 'pelit', 'cok']",7,35
ufS5vDKnIhM,MITSUBISHI TRITON ULTIMATE AT | Definisi Pria Jago Di Kantor dan Di Lapangan,Motomobi,2025-05-01 02:30:42+00:00,satriachandra-m9n,"alexis17 , emang ga duanya , pelayanan vip member",1,"alexis17 , emang ga duanya , pelayanan vip member",1,alexisit emang ga duanya pelayanan vip member,alexisit emang ga dua layan vip member,"['alexisit', 'emang', 'ga', 'duanya', 'pelayanan', 'vip', 'member']",7,49
gRjWM8jPIPw,"MR. BOND, MOBIL ANDA SUDAH SIAP | ASTON MARTIN DB12",Fitra Eri,2025-04-30 09:01:02+00:00,MyersPeter-c1d,weton88 keren banget,1,weton88 keren banget,1,weton88 keren banget,weton88 keren banget,"['weton88', 'keren', 'banget']",3,20
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.646.264.746.510,musangking9358,​ @AnggoroDps_9  apa yg lo tangkep?,0,​ apa yg lo tangkep ?,0,aanggorodps 9 apa yg lo tangkep,aanggorodps 9 apa yg lo tangkep,"['aanggorodps', '9', 'apa', 'yg', 'lo', 'tangkep']",6,35
5MBwJpU-9tg,"Rifat Sungkar Mau Bikin Sirkuit⁉️ | Dipo, Ziko Belajar Dari Suhu Motorsports",Garasi Drift Podcast,2025-04-30 09:00:07+00:00,castellanosyulissa-o3h,"3 bang , salam jepe 𝐒𝐆𝐈𝟖𝟖",1,"3 bang , salam jepe 𝐒𝐆𝐈𝟖𝟖",1,e bang salam jepe sgi88,e bang salam jepe sgi88,"['e', 'bang', 'salam', 'jepe', 'sgi88']",5,25
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.300.748.859.850,axemmagroup6661,sangat terlihat otoriternya,0,sangat terlihat otoriternya,0,sangat terlihat otoriternya,sangat lihat otoriter,"['sangat', 'terlihat', 'otoriternya']",3,27
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.266.358.310,titopriyo8126,Kerja ga berhenti² buat syape?,0,kerja ga berhenti² buat syape ?,0,kerja ga berhenti2 buat syape,kerja ga berhenti2 buat syape,"['kerja', 'ga', 'berhenti2', 'buat', 'syape']",5,30
IlkUUwDFCiI,YAMAHA CRYPTON | Begini Rasanya Bila Yamaha Buat Motor Bebek 4 Tak | Motomobi Used Bike,Motomobi,2025-03-21 13:00:27+00:00,Frazr212w,"main 𝐷𝘌𝘞𝐴𝘋𝑂𝐑𝘈 bikin happy banget , hasilnya gacir abis !",1,"main 𝐷𝘌𝘞𝐴𝘋𝑂𝐑𝘈 bikin happy banget , hasilnya gacir abis !",1,main dewadora bikin happy banget hasilnya gacir abis,main dewadora bikin happy banget hasil gacir abis,"['main', 'dewadora', 'bikin', 'happy', 'banget', 'hasilnya', 'gacir', 'abis']",8,56
ufS5vDKnIhM,MITSUBISHI TRITON ULTIMATE AT | Definisi Pria Jago Di Kantor dan Di Lapangan,Motomobi,2025-05-01 02:30:42+00:00,lembahdarojat-c7o,"alexis'17 wedey gede , cma maen bentar",1,"alexis'17 wedey gede , cma maen bentar",1,alexis it wedey gede cma maen bentar,alexis it wedey gede cma maen bentar,"['alexis', 'it', 'wedey', 'gede', 'cma', 'maen', 'bentar']",7,38
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.329.821.850,mirzaws1488,Ada jurnalis Tempo gak?,0,ada jurnalis tempo gak ?,0,ada jurnalis tempo gak,ada jurnalis tempo gak,"['ada', 'jurnalis', 'tempo', 'gak']",4,23
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.391.040.929.710,Halaldanberkah,"Gila sih huaway, apa kabar iphone yang lambat inovasi?😂",0,"gila sih huaway , apa kabar iphone yang lambat inovasi ?",0,gila sih huaway apa kabar iphone yang lambat inovasi,gila sih huaway apa kabar iphone yang lambat inovasi,"['gila', 'sih', 'huaway', 'apa', 'kabar', 'iphone', 'yang', 'lambat', 'inovasi']",9,55
rrUoGtfU9kw,PAMERAN EV TERKEREN INI BISA BIKIN ANDA KAYA RAYA,Fitra Eri,2025-05-01 09:01:12+00:00,SerenaRomero-u5b,"3 bang , salam jepe weton88",1,"3 bang , salam jepe weton88",1,e bang salam jepe weton88,e bang salam jepe weton88,"['e', 'bang', 'salam', 'jepe', 'weton88']",5,27
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.394.249.319.400,laxmanmurmu3333,"Gara-gara 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝, grup WA kantor jadi rame banget.",1,"gara-gara 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝 , grup wa kantor jadi rame banget .",1,gara gara pulauwin grup wa kantor jadi rame banget,gara gara pulauwin grup wa kantor jadi rame banget,"['gara', 'gara', 'pulauwin', 'grup', 'wa', 'kantor', 'jadi', 'rame', 'banget']",9,52
XI8K0-_kbHc,GAK NYANGKA BISA BEGINI! PENGENDARA DIJALAN SAMPAI BINGUNG LIHAT HUMMER EV | GLAMOUR AUTO BOUTIQUE,Jejelogy,1.739.687.898.352.240,renditirtana1396,"kalo gak salah, Gus Iqdam punya mobil seperti itu.",0,"kalo gak salah , gus iqdam mobil .",0,kalo gak salah gus iqdam punya mobil seperti itu,kalo gak salah gus iqdam punya mobil seperti itu,"['kalo', 'gak', 'salah', 'gus', 'iqdam', 'punya', 'mobil', 'seperti', 'itu']",9,50
kUom1fDXs4A,MOBIL-MOBIL PALING KAMI SUKA DI IIMS 2025 | FEAT. OM MOBI,Fitra Eri,1.739.954.209.957.220,indralesmana2800,Perut nya aga kempesan om?,0,perut nya aga kempesan om ?,0,perut nya aga kempesan om,perut nya aga kempes om,"['perut', 'nya', 'aga', 'kempesan', 'om']",5,26
n_mFKYFMtWY,"UBUR-UBUR IKAN LELE, INI SAYA JUAL LE !!! Ready Tiga Sasis + Body SR3 Siap Naik Livery.",Bus Pesona,1.739.951.452.739.920,andreasptt95,lha iki kan asline bakul 😅 bis hanya hobi. canda mas wahid,0,lha iki asline bakul bis hobi . canda mas wahid,0,lha iki kan asline bakul bis hanya hobi canda mas wahid,lha iki kan asline bakul bis hanya hobi canda mas wahid,"['lha', 'iki', 'kan', 'asline', 'bakul', 'bis', 'hanya', 'hobi', 'canda', 'mas', 'wahid']",11,58
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.998.348.979.330,MrAridanang,Mentok kanan💥,0,mentok kanan,0,mentok kanan,mentok kanan,"['mentok', 'kanan']",2,13
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.412.237.826.380,GiffordKelis-w4k,"Gak pernah gagal,𝐒𝐆𝐈𝟖𝟖🔥",1,"gak pernah gagal , 𝐒𝐆𝐈𝟖𝟖",1,gak pernah gagal sgi88,gak pernah gagal sgi88,"['gak', 'pernah', 'gagal', 'sgi88']",4,23
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.390.609.018.070,lastjedi8598,"Seolah Tuhan, bisa ""memastikan"" sesuatu.",0,"seolah tuhan , bisa `` memastikan '' sesuatu .",0,seolah tuhan bisa memastikan sesuatu,olah tuhan bisa pasti sesuatu,"['seolah', 'tuhan', 'bisa', 'memastikan', 'sesuatu']",5,40
J2_Egvu2QII,"GAK SAMPAI 600JT, DAPET MOBIL PHEV: JAECOO J7",Ridwan Hanif,1.740.042.720.462.920,lifeisneverthesame910,susah laku kalau nggak 7 seater,0,susah laku nggak 7 seater,0,susah laku kalau nggak t seater,susah laku kalau nggak t seater,"['susah', 'laku', 'kalau', 'nggak', 't', 'seater']",6,31
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.333.309.890,rizkysamara8541,Pengen beli tapi kalah sama kebutuhan 😭,0,pengen beli kalah kebutuhan,0,pengen beli tapi kalah sama kebutuhan,ken beli tapi kalah sama butuh,"['pengen', 'beli', 'tapi', 'kalah', 'sama', 'kebutuhan']",6,39
nZoNbiwP2ZE,Akhirnya Selesai Subaru Crosstrek Family Driftster‼️,Garasi Drift,1.739.599.663.237.580,baniadam7736,Abis abisannn 💙,0,abis abisannn,0,abis abisannn,abis abisannn,"['abis', 'abisannn']",2,15
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.405.043.904.320,Teman_musisii,Pak ahok suaranya bisa aneh gitu kebanyakan ngrokok ya ??,0,pak ahok suaranya bisa aneh gitu kebanyakan ngrokok ya ? ?,0,pak ahok suaranya bisa aneh gitu kebanyakan ngrokok ya,pak ahok suara bisa aneh gitu banyak ngrokok ya,"['pak', 'ahok', 'suaranya', 'bisa', 'aneh', 'gitu', 'kebanyakan', 'ngrokok', 'ya']",9,57
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.405.184.964.140,fiqih8615,"Point nya apa? There is no point, ngambang kaya sampah di sungai",0,"point nya apa ? there is no point , ngambang kaya sampah di sungai",0,point nya apa there is no point ngambang kaya sampah di sungai,point nya apa there is no point ngambang kaya sampah di sungai,"['point', 'nya', 'apa', 'there', 'is', 'no', 'point', 'ngambang', 'kaya', 'sampah', 'di', 'sungai']",12,64
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.412.246.642.330,TylerJaycie-z5b,yang pro aja bang di 𝐒𝐆𝐈𝟖𝟖 👍,1,yang pro aja bang di 𝐒𝐆𝐈𝟖𝟖,1,yang pro aja bang di sgi88,yang pro aja bang di sgi88,"['yang', 'pro', 'aja', 'bang', 'di', 'sgi88']",6,28
nZoNbiwP2ZE,Akhirnya Selesai Subaru Crosstrek Family Driftster‼️,Garasi Drift,1.739.599.658.873.420,TrisnoAlphino,Ternyata isinya iklan semua😊 alhamdulilah.. Mkasih mas..,0,isinya iklan alhamdulilah .. mkasih mas ..,0,ternyata isinya iklan semua alhamdulilah mkasih mas,nyata isi iklan semua alhamdulilah mkasih mas,"['ternyata', 'isinya', 'iklan', 'semua', 'alhamdulilah', 'mkasih', 'mas']",7,56
8AzDe6gMOck,BRZ Farrel Siap untuk Indonesian Drift Series‼️,Garasi Drift,2025-05-02 09:00:09+00:00,NisaSunarto-o7k,"alexis 17 emang ga duanya , pelayanan vip member",1,"alexis 17 emang ga duanya , pelayanan vip member",1,alexis it emang ga duanya pelayanan vip member,alexis it emang ga dua layan vip member,"['alexis', 'it', 'emang', 'ga', 'duanya', 'pelayanan', 'vip', 'member']",8,48
aA9G2sW212g,PEVS 2025 banyak kejutan,Om Mobi,2025-04-30 11:15:00+00:00,SongulAylin,malem hiburan bareng p̶u̶l̶a̶u̶w̶i̶n̶ .,1,malem hiburan bareng p̶u̶l̶a̶u̶w̶i̶n̶ .,1,malem hiburan bareng pulauwin,malem hibur bareng pulauwin,"['malem', 'hiburan', 'bareng', 'pulauwin']",4,39
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,2025-04-22 03:10:19+00:00,IndahAyu-y3b,bedanya 𝘼𝙇𝙀𝙓𝙄𝙎17 ya ? parah !,1,bedanya 𝘼𝙇𝙀𝙓𝙄𝙎17 ya ? parah !,1,bedanya alexisit ya parah,beda alexisit ya parah,"['bedanya', 'alexisit', 'ya', 'parah']",4,29
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.369.450.070.980,pakinanimasi,Woow harga nya,0,woow harga nya,0,woow harga nya,woow harga nya,"['woow', 'harga', 'nya']",3,14
BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.739.946.158.391.900,valencia-l8x,9:48 sangar😮,0,9:48 sangar,0,9 a8 sangar,9 a8 sangar,"['9', 'a8', 'sangar']",3,12
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.300.730.705.330,arumoe,Hah ? Apa sih,0,hah ? apa sih,0,hah apa sih,hah apa sih,"['hah', 'apa', 'sih']",3,13
zFhBO9uoGYA,INDONESIAN DRIFT SERIES TERAKHIR di sini,Om Mobi,2025-05-04 13:36:57+00:00,Amyezvqo,"iseng doang main 𝐷оrа𝟩𝟳 , eh ketagihan ! cuan nih !",1,"iseng doang main 𝐷оrа𝟩𝟳 , eh ketagihan ! cuan nih !",1,iseng doang main doratt eh ketagihan cuan nih,iseng doang main doratt eh tagih cuan nih,"['iseng', 'doang', 'main', 'doratt', 'eh', 'ketagihan', 'cuan', 'nih']",8,51
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.277.316.200,SamsulKhoir-w5t,Prabowo negarawan sejati brow❤❤❤❤,0,prabowo negarawan sejati brow,0,prabowo negarawan sejati brow,prabowo negarawan sejati brow,"['prabowo', 'negarawan', 'sejati', 'brow']",4,33
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.334.703.610,HORACIODaley,mandalika77 lagi untuk untuk maxwin tahun baru di pragmatic serupa pg soft nya lagi rame,1,mandalika77 maxwin pragmatic pg soft nya rame,1,mandalikatt lagi untuk untuk maxwin tahun baru di pragmatic serupa pg soft nya lagi rame,mandalikatt lagi untuk untuk maxwin tahun baru di pragmatic rupa pg soft nya lagi rame,"['mandalikatt', 'lagi', 'untuk', 'untuk', 'maxwin', 'tahun', 'baru', 'di', 'pragmatic', 'serupa', 'pg', 'soft', 'nya', 'lagi', 'rame']",15,88
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.419.550.436.010,BigZer0_0,Iyalah bang kita kan perintis bkn pewaris,0,iyalah bang kita kan perintis bkn pewaris,0,iyalah bang kita kan perintis bkn pewaris,iya bang kita kan rintis bkn waris,"['iyalah', 'bang', 'kita', 'kan', 'perintis', 'bkn', 'pewaris']",7,41
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.336.786.687.940,shevalina86,Ngomong apa toh,0,ngomong apa toh,0,ngomong apa toh,ngomong apa toh,"['ngomong', 'apa', 'toh']",3,15
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.335.404.230,kanazef,"Kasian, tempo alqaeda gak di ajak. Awowowowok.. 😂",0,"kasian , tempo alqaeda gak di ajak . awowowowok ..",0,kasian tempo alqaeda gak di ajak awowowowok,kasi tempo alqaeda gak di ajak awowowowok,"['kasian', 'tempo', 'alqaeda', 'gak', 'di', 'ajak', 'awowowowok']",7,49
ycGdOc17FhA,"CITY HATCHBACK NAIK SPEK, MENGEJUTKAN DI MANDALIKA",Fitra Eri,2025-04-26 06:01:01+00:00,eduFajarLatif,"berkat k o i s l o t , menjalani hidup bebas finansial kekhawatiran",1,"berkat k o i s l o t , menjalani hidup bebas finansial kekhawatiran",1,berkat k o i s l o t menjalani hidup bebas finansial kekhawatiran,berkat k o i s l o t jalan hidup bebas finansial khawatir,"['berkat', 'k', 'o', 'i', 's', 'l', 'o', 't', 'menjalani', 'hidup', 'bebas', 'finansial', 'kekhawatiran']",13,67
CLHTLViZ8Uc,NYOBAIN WARKOPOLIM GOFAR HILMAN GRIND BOYS‼️ Test Ride Mio Bore Up Injeksi Sekalian Kulineran,Den Dimas,2025-05-02 10:00:32+00:00,GulleyShelley-x7u,keren . gas mari kak 𝗦𝗚𝗜𝟴𝟴,1,keren . gas mari kak 𝗦𝗚𝗜𝟴𝟴,1,keren gas mari kak sgi88,keren gas mari kak sgi88,"['keren', 'gas', 'mari', 'kak', 'sgi88']",5,26
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.312.535.280,AnggoroDps_9,Yaahhh otaknya nggak nyampe dehh. Emang bener ganti rakyat sihhhh,0,yaahhh otaknya nggak nyampe dehh . emang bener ganti rakyat sihhhh,0,yaahhh otaknya nggak nyampe dehh emang bener ganti rakyat sihhhh,yaahhh otak nggak nyampe dehh emang bener ganti rakyat sihhhh,"['yaahhh', 'otaknya', 'nggak', 'nyampe', 'dehh', 'emang', 'bener', 'ganti', 'rakyat', 'sihhhh']",10,65
